,quarter,month,FEDFUNDS,RSAHORUSQ156S,MORTGAGE30US,CPIAUCSL
554,2000Q3,2000-09,6.52,67.5,7.912000000000001,173.6
555,2000Q4,2000-10,6.51,67.5,7.795,173.9
556,2000Q4,2000-11,6.51,67.5,7.745,174.2
557,2000Q4,2000-12,6.4,67.5,7.382,174.6
558,2001Q1,2001-01,5.98,67.6,7.0325,175.6
559,2001Q1,2001-02,5.49,67.6,7.05,176.0
560,2001Q1,2001-03,5.31,67.6,6.952,176.1
561,2001Q2,2001-04,4.8,67.8,7.0775,176.4
562,2001Q2,2001-05,4.21,67.8,7.145,177.3
563,2001Q2,2001-06,3.97,67.8,7.159999999999999,177.7
564,2001Q3,2001-07,3.77,67.9,7.1275,177.4
565,2001Q3,2001-08,3.65,67.9,6.95,177.4
566,2001Q3,2001-09,3.07,67.9,6.8175,178.1
567,2001Q4,2001-10,2.49,67.9,6.6175,177.6
568,2001Q4,2001-11,2.09,67.9,6.6579999999999995,177.5
569,2001Q4,2001-12,1.82,67.9,7.0649999999999995,177.4
570,2002Q1,2002-01,1.73,67.9,6.9975,177.7
571,2002Q1,2002-02,1.74,67.9,6.8925,178.0
572,2002Q1,2002-03,1.73,67.9,7.014,178.5
573,2002Q2,2002-04,1.75,67.8,6.985,179.3
574,2002Q2,2002-05,1.75,67.8,6.806,179.5
575,2002Q2,2002-06,1.75,67.8,6.65,179.6
576,2002Q3,2002-07,1.73,67.9,6.485,180.0
577,2002Q3,2002-08,1.74,67.9,6.29,180.5
578,2002Q3,2002-09,1.75,67.9,6.0925,180.8
579,2002Q4,2002-10,1.75,68.2,6.1125,181.2
580,2002Q4,2002-11,1.34,68.2,6.068,181.5
581,2002Q4,2002-12,1.24,68.2,6.0475,181.8
582,2003Q1,2003-01,1.24,68.1,5.9159999999999995,182.6
583,2003Q1,2003-02,1.26,68.1,5.8425,183.6
584,2003Q1,2003-03,1.25,68.1,5.745,183.9
585,2003Q2,2003-04,1.26,68.2,5.8125,183.2
586,2003Q2,2003-05,1.26,68.2,5.484,182.9
587,2003Q2,2003-06,1.22,68.2,5.23,183.1
588,2003Q3,2003-07,1.01,68.3,5.6325,183.7
589,2003Q3,2003-08,1.03,68.3,6.264,184.5
590,2003Q3,2003-09,1.01,68.3,6.1475,185.1
591,2003Q4,2003-10,1.01,68.5,5.952,184.9
592,2003Q4,2003-11,1.0,68.5,5.9325,185.0
593,2003Q4,2003-12,0.98,68.5,5.8759999999999994,185.5
594,2004Q1,2004-01,1.0,68.7,5.7125,186.3
595,2004Q1,2004-02,1.01,68.7,5.635,186.7
596,2004Q1,2004-03,1.0,68.7,5.445,187.1
597,2004Q2,2004-04,1.0,69.4,5.83,187.4
598,2004Q2,2004-05,1.0,69.4,6.27,188.2
599,2004Q2,2004-06,1.03,69.4,6.2875,188.9
600,2004Q3,2004-07,1.26,68.9,6.056,189.1
601,2004Q3,2004-08,1.43,68.9,5.8675,189.2
602,2004Q3,2004-09,1.61,68.9,5.754,189.8
603,2004Q4,2004-10,1.76,69.1,5.7225,190.8
604,2004Q4,2004-11,1.93,69.1,5.73,191.7
605,2004Q4,2004-12,2.16,69.1,5.752,191.7
606,2005Q1,2005-01,2.28,69.2,5.71,191.6
607,2005Q1,2005-02,2.5,69.2,5.6275,192.4
608,2005Q1,2005-03,2.63,69.2,5.928,193.1
609,2005Q2,2005-04,2.79,68.7,5.855,193.7
610,2005Q2,2005-05,3.0,68.7,5.72,193.6
611,2005Q2,2005-06,3.04,68.7,5.582,193.7
612,2005Q3,2005-07,3.26,68.7,5.695,194.9
613,2005Q3,2005-08,3.5,68.7,5.82,196.1
614,2005Q3,2005-09,3.62,68.7,5.774,198.8
615,2005Q4,2005-10,3.78,68.9,6.065,199.1
616,2005Q4,2005-11,4.0,68.9,6.33,198.1
617,2005Q4,2005-12,4.16,68.9,6.272,198.1
618,2006Q1,2006-01,4.29,68.6,6.145,199.3
619,2006Q1,2006-02,4.49,68.6,6.2525,199.4
620,2006Q1,2006-03,4.59,68.6,6.324,199.7
621,2006Q2,2006-04,4.79,68.8,6.5075,200.7
622,2006Q2,2006-05,4.94,68.8,6.5975,201.3
623,2006Q2,2006-06,4.99,68.8,6.6819999999999995,201.8
624,2006Q3,2006-07,5.24,68.9,6.7625,202.9
625,2006Q3,2006-08,5.25,68.9,6.523999999999999,203.8
626,2006Q3,2006-09,5.25,68.9,6.4025,202.8
627,2006Q4,2006-10,5.25,68.8,6.3575,201.9
628,2006Q4,2006-11,5.25,68.8,6.24,202.0
629,2006Q4,2006-12,5.24,68.8,6.135,203.1
630,2007Q1,2007-01,5.25,68.5,6.2175,203.437
631,2007Q1,2007-02,5.26,68.5,6.285,204.226
632,2007Q1,2007-03,5.26,68.5,6.156000000000001,205.288
633,2007Q2,2007-04,5.25,68.3,6.18,205.904
634,2007Q2,2007-05,5.25,68.3,6.2620000000000005,206.755
635,2007Q2,2007-06,5.25,68.3,6.657500000000001,207.234
636,2007Q3,2007-07,5.26,68.0,6.695,207.603
637,2007Q3,2007-08,5.02,68.0,6.572,207.667
638,2007Q3,2007-09,4.94,68.0,6.3825,208.547
639,2007Q4,2007-10,4.76,67.8,6.375,209.19
640,2007Q4,2007-11,4.49,67.8,6.208,210.834
641,2007Q4,2007-12,4.24,67.8,6.095,211.445
642,2008Q1,2008-01,3.94,67.9,5.758,212.174
643,2008Q1,2008-02,2.98,67.9,5.9175,212.687
644,2008Q1,2008-03,2.61,67.9,5.97,213.448
645,2008Q2,2008-04,2.28,68.1,5.9175,213.942
646,2008Q2,2008-05,1.98,68.1,6.036,215.208
647,2008Q2,2008-06,2.0,68.1,6.32,217.463
648,2008Q3,2008-07,2.01,67.7,6.425999999999999,219.016
649,2008Q3,2008-08,2.0,67.7,6.4775,218.69
650,2008Q3,2008-09,1.81,67.7,6.0375,218.877
651,2008Q4,2008-10,0.97,67.5,6.2,216.995
652,2008Q4,2008-11,0.39,67.5,6.0875,213.153
653,2008Q4,2008-12,0.16,67.5,5.286,211.398
654,2009Q1,2009-01,0.15,67.4,5.047499999999999,211.933
655,2009Q1,2009-02,0.22,67.4,5.13,212.705
656,2009Q1,2009-03,0.18,67.4,5.0025,212.495
657,2009Q2,2009-04,0.15,67.4,4.8100000000000005,212.709
658,2009Q2,2009-05,0.18,67.4,4.8575,213.022
659,2009Q2,2009-06,0.21,67.4,5.42,214.79
660,2009Q3,2009-07,0.16,67.4,5.2219999999999995,214.726
661,2009Q3,2009-08,0.16,67.4,5.1925,215.445
662,2009Q3,2009-09,0.15,67.4,5.0575,215.861
663,2009Q4,2009-10,0.12,67.2,4.952,216.509
664,2009Q4,2009-11,0.12,67.2,4.875,217.234
665,2009Q4,2009-12,0.12,67.2,4.93,217.347
666,2010Q1,2010-01,0.11,67.2,5.03,217.488
667,2010Q1,2010-02,0.13,67.2,4.99,217.281
668,2010Q1,2010-03,0.16,67.2,4.9675,217.353
669,2010Q2,2010-04,0.2,66.9,5.098000000000001,217.403
670,2010Q2,2010-05,0.2,66.9,4.8875,217.29
671,2010Q2,2010-06,0.18,66.9,4.7375,217.199
672,2010Q3,2010-07,0.18,66.7,4.564,217.605
673,2010Q3,2010-08,0.19,66.7,4.4275,217.923
674,2010Q3,2010-09,0.19,66.7,4.346,218.275
675,2010Q4,2010-10,0.19,66.5,4.225,219.035
676,2010Q4,2010-11,0.19,66.5,4.3,219.59
677,2010Q4,2010-12,0.18,66.5,4.714,220.472
678,2011Q1,2011-01,0.17,66.5,4.755,221.187
679,2011Q1,2011-02,0.16,66.5,4.9525,221.898
680,2011Q1,2011-03,0.14,66.5,4.836,223.046
681,2011Q2,2011-04,0.1,66.0,4.84,224.093
682,2011Q2,2011-05,0.09,66.0,4.6375,224.806
683,2011Q2,2011-06,0.09,66.0,4.51,224.806
684,2011Q3,2011-07,0.07,66.1,4.545,225.395
685,2011Q3,2011-08,0.1,66.1,4.27,226.106
686,2011Q3,2011-09,0.08,66.1,4.106,226.597
687,2011Q4,2011-10,0.07,65.9,4.0675,226.75
688,2011Q4,2011-11,0.08,65.9,3.9925,227.169
689,2011Q4,2011-12,0.07,65.9,3.9579999999999997,227.223
690,2012Q1,2012-01,0.08,65.6,3.915,227.842
691,2012Q1,2012-02,0.1,65.6,3.89,228.329
692,2012Q1,2012-03,0.13,65.6,3.9539999999999997,228.807
693,2012Q2,2012-04,0.14,65.6,3.91,229.187
694,2012Q2,2012-05,0.16,65.6,3.7979999999999996,228.713
695,2012Q2,2012-06,0.16,65.6,3.675,228.524
696,2012Q3,2012-07,0.16,65.4,3.55,228.59
697,2012Q3,2012-08,0.13,65.4,3.6019999999999994,229.918
698,2012Q3,2012-09,0.14,65.4,3.4975,231.015
699,2012Q4,2012-10,0.16,65.3,3.3825000000000003,231.638
700,2012Q4,2012-11,0.16,65.3,3.3519999999999994,231.249
701,2012Q4,2012-12,0.16,65.3,3.3449999999999998,231.221
702,2013Q1,2013-01,0.14,65.2,3.414,231.679
703,2013Q1,2013-02,0.15,65.2,3.5324999999999998,232.937
704,2013Q1,2013-03,0.14,65.2,3.565,232.282
705,2013Q2,2013-04,0.15,65.1,3.4450000000000003,231.797
706,2013Q2,2013-05,0.11,65.1,3.536,231.893
707,2013Q2,2013-06,0.09,65.1,4.07,232.445
708,2013Q3,2013-07,0.09,65.2,4.37,232.9
709,2013Q3,2013-08,0.08,65.2,4.456,233.456
710,2013Q3,2013-09,0.08,65.2,4.49,233.544
711,2013Q4,2013-10,0.09,65.1,4.192,233.669
712,2013Q4,2013-11,0.08,65.1,4.255,234.1
713,2013Q4,2013-12,0.09,65.1,4.4575,234.719
714,2014Q1,2014-01,0.07,64.9,4.432,235.288
715,2014Q1,2014-02,0.07,64.9,4.3025,235.547
716,2014Q1,2014-03,0.08,64.9,4.3425,236.028
717,2014Q2,2014-04,0.09,64.8,4.3375,236.468
718,2014Q2,2014-05,0.09,64.8,4.192,236.918
719,2014Q2,2014-06,0.1,64.8,4.1625,237.231
720,2014Q3,2014-07,0.09,64.3,4.13,237.498
721,2014Q3,2014-08,0.09,64.3,4.115,237.46
722,2014Q3,2014-09,0.09,64.3,4.1625,237.477
723,2014Q4,2014-10,0.09,63.9,4.036,237.43
724,2014Q4,2014-11,0.09,63.9,3.9975,236.983
725,2014Q4,2014-12,0.12,63.9,3.864,236.252
726,2015Q1,2015-01,0.11,63.8,3.67,234.747
727,2015Q1,2015-02,0.11,63.8,3.71,235.342
728,2015Q1,2015-03,0.11,63.8,3.77,235.976
729,2015Q2,2015-04,0.12,63.5,3.6719999999999997,236.222
730,2015Q2,2015-05,0.12,63.5,3.84,237.001
731,2015Q2,2015-06,0.13,63.5,3.9825,237.657
732,2015Q3,2015-07,0.13,63.6,4.046,238.034
733,2015Q3,2015-08,0.14,63.6,3.9050000000000002,238.033
734,2015Q3,2015-09,0.14,63.6,3.89,237.498
735,2015Q4,2015-10,0.12,63.7,3.7960000000000003,237.733
736,2015Q4,2015-11,0.12,63.7,3.9425,238.017
737,2015Q4,2015-12,0.24,63.7,3.964,237.761
738,2016Q1,2016-01,0.34,63.5,3.8725,237.652
739,2016Q1,2016-02,0.38,63.5,3.66,237.336
740,2016Q1,2016-03,0.36,63.5,3.694,238.08
741,2016Q2,2016-04,0.37,63.1,3.605,238.992
742,2016Q2,2016-05,0.37,63.1,3.6,239.557
743,2016Q2,2016-06,0.38,63.1,3.568,240.222
744,2016Q3,2016-07,0.39,63.4,3.44,240.101
745,2016Q3,2016-08,0.4,63.4,3.435,240.545
746,2016Q3,2016-09,0.4,63.4,3.46,241.176
747,2016Q4,2016-10,0.4,63.5,3.47,241.741
748,2016Q4,2016-11,0.41,63.5,3.77,242.026
749,2016Q4,2016-12,0.54,63.5,4.198,242.637
750,2017Q1,2017-01,0.65,63.6,4.15,243.618
751,2017Q1,2017-02,0.66,63.6,4.1675,244.006
752,2017Q1,2017-03,0.79,63.6,4.196,243.892
753,2017Q2,2017-04,0.9,63.9,4.045,244.193
754,2017Q2,2017-05,0.91,63.9,4.01,244.004
755,2017Q2,2017-06,1.04,63.9,3.904,244.163
756,2017Q3,2017-07,1.15,63.9,3.9675000000000002,244.243
757,2017Q3,2017-08,1.16,63.9,3.88,245.183
758,2017Q3,2017-09,1.15,63.9,3.8049999999999997,246.435
759,2017Q4,2017-10,1.15,64.0,3.895,246.626
760,2017Q4,2017-11,1.16,64.0,3.9219999999999997,247.284
761,2017Q4,2017-12,1.3,64.0,3.95,247.805
762,2018Q1,2018-01,1.41,64.2,4.032500000000001,248.859
763,2018Q1,2018-02,1.42,64.2,4.33,249.529
764,2018Q1,2018-03,1.51,64.2,4.444,249.577
765,2018Q2,2018-04,1.69,64.5,4.4675,250.227
766,2018Q2,2018-05,1.7,64.5,4.586,250.792
767,2018Q2,2018-06,1.82,64.5,4.57,251.018
768,2018Q3,2018-07,1.91,64.4,4.5275,251.214
769,2018Q3,2018-08,1.91,64.4,4.55,251.663
770,2018Q3,2018-09,1.95,64.4,4.6274999999999995,252.182
771,2018Q4,2018-10,2.19,64.6,4.83,252.772
772,2018Q4,2018-11,2.2,64.6,4.866,252.594
773,2018Q4,2018-12,2.27,64.6,4.6375,252.767
774,2019Q1,2019-01,2.4,64.2,4.464,252.561
775,2019Q1,2019-02,2.4,64.2,4.37,253.319
776,2019Q1,2019-03,2.41,64.2,4.265,254.277
777,2019Q2,2019-04,2.42,64.3,4.1425,255.233
778,2019Q2,2019-05,2.39,64.3,4.072,255.296
779,2019Q2,2019-06,2.38,64.3,3.8024999999999998,255.213
780,2019Q3,2019-07,2.4,64.7,3.765,255.802
781,2019Q3,2019-08,2.13,64.7,3.6159999999999997,256.036
782,2019Q3,2019-09,2.04,64.7,3.605,256.43
783,2019Q4,2019-10,1.83,65.0,3.6879999999999997,257.155
784,2019Q4,2019-11,1.55,65.0,3.6950000000000003,257.879
785,2019Q4,2019-12,1.55,65.0,3.72,258.63
786,2020Q1,2020-01,1.55,65.3,3.624,258.906
787,2020Q1,2020-02,1.58,65.3,3.4650000000000003,259.246
788,2020Q1,2020-03,0.65,65.3,3.45,258.15
789,2020Q2,2020-04,0.05,68.0,3.306,256.126
790,2020Q2,2020-05,0.05,68.0,3.2325,255.848
791,2020Q2,2020-06,0.08,68.0,3.1625,257.004
792,2020Q3,2020-07,0.09,67.3,3.016,258.408
793,2020Q3,2020-08,0.1,67.3,2.935,259.366
794,2020Q3,2020-09,0.09,67.3,2.89,259.951
795,2020Q4,2020-10,0.09,65.7,2.834,260.249
796,2020Q4,2020-11,0.09,65.7,2.765,260.895
797,2020Q4,2020-12,0.09,65.7,2.684,262.005
798,2021Q1,2021-01,0.09,65.6,2.735,262.518
799,2021Q1,2021-02,0.08,65.6,2.81,263.583
800,2021Q1,2021-03,0.07,65.6,3.0825,264.91
801,2021Q2,2021-04,0.07,65.5,3.06,266.752
802,2021Q2,2021-05,0.06,65.5,2.9625,268.452
803,2021Q2,2021-06,0.08,65.5,2.975,270.664
804,2021Q3,2021-07,0.1,65.3,2.868,271.994
805,2021Q3,2021-08,0.09,65.3,2.8425000000000002,272.789
806,2021Q3,2021-09,0.08,65.3,2.9,273.887
807,2021Q4,2021-10,0.08,65.5,3.0675,276.434
808,2021Q4,2021-11,0.08,65.5,3.0675,278.799
809,2021Q4,2021-12,0.08,65.5,3.098,280.808
810,2022Q1,2022-01,0.08,65.4,3.4450000000000003,282.39
811,2022Q1,2022-02,0.08,65.4,3.7625,284.535
812,2022Q1,2022-03,0.2,65.4,4.172,287.553
813,2022Q2,2022-04,0.33,65.9,4.9825,288.764
814,2022Q2,2022-05,0.77,65.9,5.2299999999999995,291.359
815,2022Q2,2022-06,1.21,65.9,5.522,294.996
816,2022Q3,2022-07,1.68,65.9,5.4125,294.977
817,2022Q3,2022-08,2.33,65.9,5.2225,295.209
818,2022Q3,2022-09,2.56,65.9,6.112,296.341
819,2022Q4,2022-10,3.08,65.9,6.9,297.863
820,2022Q4,2022-11,3.78,65.9,6.805,298.648
821,2022Q4,2022-12,4.1,65.9,6.364,298.812
822,2023Q1,2023-01,4.33,66.0,6.2725,300.356
823,2023Q1,2023-02,4.57,66.0,6.2575,301.509
824,2023Q1,2023-03,4.65,66.0,6.544,301.744
825,2023Q2,2023-04,4.83,66.0,6.342499999999999,303.032
826,2023Q2,2023-05,5.06,66.0,6.425,303.365
827,2023Q2,2023-06,5.08,66.0,6.714,304.003
828,2023Q3,2023-07,5.12,65.9,6.84,304.628
829,2023Q3,2023-08,5.33,65.9,7.072,306.187
830,2023Q3,2023-09,5.33,65.9,7.2,307.288
831,2023Q4,2023-10,5.33,65.7,7.62,307.531
832,2023Q4,2023-11,5.33,65.7,7.442,308.024
833,2023Q4,2023-12,5.33,65.7,6.815,308.742
834,2024Q1,2024-01,5.33,65.6,6.6425,309.685
835,2024Q1,2024-02,5.33,65.6,6.776000000000001,311.054
836,2024Q1,2024-03,5.33,65.6,6.82,312.23
837,2024Q2,2024-04,5.33,,6.9925,
838,,2024-05,,,7.22,
839,,1947-01,,,,21.48
840,,1947-02,,,,21.62
841,,1947-03,,,,22.0
842,,1947-04,,,,22.0
843,,1947-05,,,,21.95
844,,1947-06,,,,22.08
845,,1947-07,,,,22.23
846,,1947-08,,,,22.4
847,,1947-09,,,,22.84
848,,1947-10,,,,22.91
849,,1947-11,,,,23.06
850,,1947-12,,,,23.41
851,,1948-01,,,,23.68
852,,1948-02,,,,23.67
853,,1948-03,,,,23.5
854,,1948-04,,,,23.82
855,,1948-05,,,,24.01
856,,1948-06,,,,24.15
857,,1948-07,,,,24.4
858,,1948-08,,,,24.43
859,,1948-09,,,,24.36
860,,1948-10,,,,24.31
861,,1948-11,,,,24.16
862,,1948-12,,,,24.05
863,,1949-01,,,,24.01
864,,1949-02,,,,23.91
865,,1949-03,,,,23.91
866,,1949-04,,,,23.92
867,,1949-05,,,,23.91
868,,1949-06,,,,23.92
869,,1949-07,,,,23.7
870,,1949-08,,,,23.7
871,,1949-09,,,,23.75
872,,1949-10,,,,23.67
873,,1949-11,,,,23.7
874,,1949-12,,,,23.61
875,,1950-01,,,,23.51
876,,1950-02,,,,23.61
877,,1950-03,,,,23.64
878,,1950-04,,,,23.65
879,,1950-05,,,,23.77
880,,1950-06,,,,23.88
881,,1950-07,,,,24.07
882,,1950-08,,,,24.2
883,,1950-09,,,,24.34
884,,1950-10,,,,24.5
885,,1950-11,,,,24.6
886,,1950-12,,,,24.98
887,,1951-01,,,,25.38
888,,1951-02,,,,25.83
889,,1951-03,,,,25.88
890,,1951-04,,,,25.92
891,,1951-05,,,,25.99
892,,1951-06,,,,25.93
893,,1951-07,,,,25.91
894,,1951-08,,,,25.86
895,,1951-09,,,,26.03
896,,1951-10,,,,26.16
897,,1951-11,,,,26.32
898,,1951-12,,,,26.47
899,,1952-01,,,,26.45
900,,1952-02,,,,26.41
901,,1952-03,,,,26.39
902,,1952-04,,,,26.46
903,,1952-05,,,,26.47
904,,1952-06,,,,26.53
905,,1952-07,,,,26.68
906,,1952-08,,,,26.69
907,,1952-09,,,,26.63
908,,1952-10,,,,26.69
909,,1952-11,,,,26.69
910,,1952-12,,,,26.71
911,,1953-01,,,,26.64
912,,1953-02,,,,26.59
913,,1953-03,,,,26.63
914,,1953-04,,,,26.69
915,,1953-05,,,,26.7
916,,1953-06,,,,26.77
917,,1953-07,,,,26.79
918,,1953-08,,,,26.85
919,,1953-09,,,,26.89
920,,1953-10,,,,26.95
921,,1953-11,,,,26.85
922,,1953-12,,,,26.87
923,,1954-01,,,,26.94
924,,1954-02,,,,26.99
925,,1954-03,,,,26.93
926,,1954-04,,,,26.86
927,,1954-05,,,,26.93
928,,1954-06,,,,26.94
